subj_id,magnitude,vehicle,motion
1,0.22663570799667473,0,0
2,0.25908721741793017,0,0
3,0.24428373230688294,0,0
4,0.17860490220827052,0,0
5,0.21806299480611455,0,0
6,0.24643607892672859,0,0
1,0.26855416142874544,1,0
2,0.31150978199160395,1,0
3,0.268635857320523,1,0
4,0.25127952012591814,1,0
5,0.28301754292655695,1,0
6,0.2903234960498974,1,0
1,0.26944602354669245,2,0
2,0.28781022249115806,2,0
3,0.29733661290460534,2,0
4,0.2563216543818503,2,0
5,0.302287863468663,2,0
6,0.2999340196446324,2,0
1,0.26637020079355445,0,1
2,0.2735712135348568,0,1
3,0.25729192512680865,0,1
4,0.21523929517810297,0,1
5,0.24825432314716395,0,1
6,0.2806476891594183,0,1
1,0.3074855356476103,1,1
2,0.3605777306333924,1,1
3,0.2979952589379869,1,1
4,0.23028523292954006,1,1
5,0.2927488906147062,1,1
6,0.30553614162715087,1,1
1,0.3205617757904099,2,1
2,0.361032755085385,2,1
3,0.26095195041031366,2,1
4,0.3290466083070933,2,1
5,0.31567947350741277,2,1
6,0.3671024188791793,2,1
